iter	Passed	Remaining
521	146441	134097
522	146690	133788
523	147021	133553
524	147325	133294
525	147624	133030
526	147924	132766
527	148212	132492
528	148479	132199
529	148784	131941
530	149080	131673
531	149340	131374
532	149614	131088
533	149895	130807
534	150181	130531
535	150464	130252
536	150763	129988
537	151073	129731
538	151382	129475
539	151656	129188
540	151950	128919
541	152256	128659
542	152514	128358
543	152784	128069
544	153051	127776
545	153344	127506
546	153642	127239
547	153930	126964
548	154248	126713
549	154519	126424
550	154797	126141
551	155068	125852
552	155357	125578
553	155637	125296
554	155977	125062
555	156321	124832
556	156615	124561
557	156907	124288
558	157217	124030
559	157490	123742
560	157816	123496
561	158128	123238
562	158459	122996
563	158748	122720
564	159000	122416
565	159333	122174
566	159608	121887
567	159885	121603
568	160148	121307
569	160492	121073
570	160804	120814
571	161143	120576
572	161479	120334
573	161815	120093
574	162107	119818
575	162418	119558
576	162736	119302
577	163011	119015
578	163326	118757
579	163639	118497
580	163918	118212
581	164225	117948
582	164497	117659
583	164816	117403
584	165090	117115
585	165429	116873
586	165734	116606
587	165973	116294
588	166275	116025
589	166543	115733
590	166877	115486
591	167133	115186
592	167432	114915
593	167746	114655
594	168042	114381
595	168321	114097
596	168634	113835
597	168931	113562
598	169197	113269
599	169507	113004
600	169826	112746
601	170114	112467
602	170430	112207
603	170705	111919
604	171012	111652
605	171339	111399
606	171614	111111
607	171907	110834
608	172180	110545
609	172466	110265
610	172748	109982
611	173042	109706
612	173344	109436
613	173616	109146
614	173928	108881
615	174180	108579
616	174478	108306
617	174772	108030
618	175054	107747
619	175357	107477
620	175693	107226
621	176022	106971
622	176292	106681
623	176591	106407
624	176860	106116
625	177159	105843
626	177515	105603
627	177895	105377
628	178221	105119
629	178539	104856
630	178841	104584
631	179129	104303
632	179421	104024
633	179708	103743
634	180003	103466
635	180317	103200
636	180621	102928
637	180893	102638
638	181171	102352
639	181457	102070
640	181736	101783
641	182013	101496
642	182354	101245
643	182668	100978
644	182984	100712
645	183245	100416
646	183509	100121
647	183784	99833
648	184078	99555
649	184283	99229
650	184598	98962
651	184876	98676
652	185177	98401
653	185479	98128
654	185647	97783
655	185958	97514
656	186251	97236
657	186573	96972
658	186878	96700
659	187174	96423
660	187463	96142
661	187836	95904
662	188185	95653
663	188488	95379
664	188803	95111
665	189101	94834
666	189395	94555
667	189656	94260
668	189945	93979
669	190225	93693
670	190505	93407
671	190793	93125
672	191065	92835
673	191329	92542
674	191654	92278
675	191977	92012
676	192279	91737
677	192609	91475
678	192911	91199
679	193256	90944
680	193575	90676
681	193912	90416
682	194209	90138
683	194535	89873
684	194830	89593
685	195114	89309
686	195417	89033
687	195714	88754
688	196004	88472
689	196291	88188
690	196594	87912
691	196926	87649
692	197215	87366
693	197507	87085
694	197836	86820
695	198149	86548
696	198419	86256
697	198744	85989
698	199019	85700
699	199317	85421
700	199624	85146
701	199905	84860
702	200201	84579
703	200517	84308
704	200822	84031
705	201126	83755
706	201436	83480
707	201753	83208
708	202084	82943
709	202402	82671
710	202727	82402
711	203018	82119
712	203325	81843
713	203670	81582
714	203948	81294
715	204200	80995
716	204523	80725
717	204819	80444
718	205101	80157
719	205406	79880
720	205705	79600
721	205985	79312
722	206303	79040
723	206601	78759
724	206933	78491
725	207238	78214
726	207546	77937
727	207826	77649
728	208131	77371
729	208391	77076
730	208700	76799
731	209019	76526
732	209415	76280
733	209715	76000
734	210025	75723
735	210339	75447
736	210643	75168
737	210969	74897
738	211256	74611
739	211588	74341
740	211894	74062
741	212212	73788
742	212513	73507
743	212841	73235
744	213140	72954
745	213447	72675
746	213765	72399
747	214044	72111
748	214341	71828
749	214604	71534
750	214930	71261
751	215203	70971
752	215475	70680
753	215785	70402
754	216071	70115
755	216350	69827
756	216636	69541
757	216933	69258
758	217222	68973
759	217475	68676
760	217784	68397
761	218123	68127
762	218409	67841
763	218693	67554
764	219005	67276
765	219307	66994
766	219616	66715
767	219893	66426
768	220208	66148
769	220488	65860
770	220787	65577
771	221099	65298
772	221384	65012
773	221661	64722
774	221971	64443
775	222277	64162
776	222590	63883
777	222908	63606
778	223208	63323
779	223478	63032
780	223764	62745
781	224049	62458
782	224378	62184
783	224712	61910
784	225050	61637
785	225388	61365
786	225678	61079
787	225982	60797
788	226305	60520
789	226583	60231
790	226910	59954
791	227209	59671
792	227500	59385
793	227808	59104
794	228105	58819
795	228428	58541
796	228756	58265
797	229028	57974
798	229328	57690
799	229597	57399
800	229899	57116
801	230245	56843
802	230558	56562
803	230887	56285
804	231187	56001
805	231498	55720
806	231781	55432
807	232075	55146
808	232393	54866
809	232720	54588
810	233039	54308
811	233368	54031
812	233674	53747
813	233989	53466
814	234301	53184
815	234601	52900
816	234893	52613
817	235188	52328
818	235508	52047
819	235867	51775
820	236193	51496
821	236519	51217
822	236838	50936
823	237175	50658
824	237452	50368
825	237771	50087
826	238118	49811
827	238478	49538
828	238813	49260
829	239164	48985
830	239477	48702
831	239781	48417
832	240074	48130
833	240406	47850
834	240756	47574
835	241099	47297
836	241426	47016
837	241732	46731
838	242097	46457
839	242401	46171
840	242750	45894
841	243064	45610
842	243359	45323
843	243663	45037
844	243948	44748
845	244247	44461
846	244556	44176
847	244881	43893
848	245199	43610
849	245478	43319
850	245800	43036
851	246070	42744
852	246369	42457
853	246700	42175
854	247002	41889
855	247318	41605
856	247605	41315
857	247889	41026
858	248186	40738
859	248483	40450
860	248776	40162
861	249092	39877
862	249404	39592
863	249685	39302
864	250004	39018
865	250313	38732
866	250599	38442
867	250915	38157
868	251223	37871
869	251504	37581
870	251822	37296
871	252140	37011
872	252437	36723
873	252722	36433
874	253017	36145
875	253327	35859
876	253622	35570
877	253914	35281
878	254243	34998
879	254534	34709
880	254828	34420
881	255151	34135
882	255434	33845
883	255729	33557
884	256058	33273
885	256380	32988
886	256715	32704
887	257037	32419
888	257362	32134
889	257679	31847
890	257999	31562
891	258350	31280
892	258673	30994
893	258953	30703
894	259249	30414
895	259551	30126
896	259859	29838
897	260182	29553
898	260536	29270
899	260816	28979
900	261102	28689
901	261411	28401
902	261724	28114
903	262011	27824
904	262325	27536
905	262649	27250
906	262951	26961
907	263262	26674
908	263575	26386
909	263870	26097
910	264197	25810
911	264524	25524
912	264798	25232
913	265098	24943
914	265391	24653
915	265660	24361
916	265917	24068
917	266254	23783
918	266543	23492
919	266882	23207
920	267205	22919
921	267481	22628
922	267802	22341
923	268112	22052
924	268449	21766
925	268753	21477
926	269105	21191
927	269463	20906
928	269756	20616
929	270053	20326
930	270371	20038
931	270664	19748
932	271010	19461
933	271303	19171
934	271614	18882
935	271949	18594
936	272269	18306
937	272575	18016
938	272833	17723
939	273142	17434
940	273511	17148
941	273845	16860
942	274176	16572
943	274506	16284
944	274810	15994
945	275134	15705
946	275472	15417
947	275755	15125
948	276081	14836
949	276373	14545
950	276680	14255
951	276991	13965
952	277312	13676
953	277658	13388
954	277989	13098
955	278306	12809
956	278590	12517
957	278880	12226
958	279140	11934
959	279496	11645
960	279776	11354
961	280061	11062
962	280363	10772
963	280711	10483
964	281012	10192
965	281335	9902
966	281647	9611
967	281922	9319
968	282224	9028
969	282533	8738
970	282857	8447
971	283167	8157
972	283453	7865
973	283761	7574
974	284075	7283
975	284377	6992
976	284703	6702
977	285004	6411
978	285306	6119
979	285639	5829
980	285950	5538
981	286273	5247
982	286559	4955
983	286864	4664
984	287150	4372
985	287497	4082
986	287807	3790
987	288141	3499
988	288441	3208
989	288757	2916
990	289045	2625
991	289349	2333
992	289650	2041
993	289965	1750
994	290337	1458
995	290672	1167
996	290990	875
997	291289	583
998	291607	291
999	291931	0
