iter	RMSE
0	31.66164828
1	29.63249538
2	27.84608215
3	26.33917656
4	25.02211013
5	23.9865287
6	22.83323738
7	21.9095388
8	20.9855453
9	20.16538239
10	19.35236144
11	18.65630727
12	17.94861489
13	17.33290794
14	16.73119233
15	16.16275557
16	15.67623365
17	15.18577043
18	14.7349184
19	14.25806821
20	13.84834859
21	13.4704004
22	13.04869717
23	12.786343
24	12.52785853
25	12.22278277
26	11.90552058
27	11.6080705
28	11.28680701
29	11.02174713
30	10.81484324
31	10.60180099
32	10.39557061
33	10.11314693
34	9.832666456
35	9.649880178
36	9.453948688
37	9.27466008
38	9.073273998
39	8.870116976
40	8.725478684
41	8.513819936
42	8.307598012
43	8.052181837
44	7.854284008
45	7.682615692
46	7.484272653
47	7.337663583
48	7.211522817
49	7.007010195
50	6.833598773
51	6.744452162
52	6.560012953
53	6.43129337
54	6.259688363
55	6.151224939
56	5.985763002
57	5.898329978
58	5.748107211
59	5.620649409
60	5.474092045
61	5.336509326
62	5.193073544
63	5.067343639
64	4.941577138
65	4.856101972
66	4.718375454
67	4.64261342
68	4.509198739
69	4.453142032
70	4.352639199
71	4.240684797
72	4.129599998
73	4.054471686
74	3.977599841
75	3.934449138
76	3.861308082
77	3.742337629
78	3.666661177
79	3.657881438
80	3.571867055
81	3.480220809
82	3.422629349
83	3.322154762
84	3.296120889
85	3.239460748
86	3.150765002
87	3.137244567
88	3.054213307
89	2.994615548
90	2.955852604
91	2.892246547
92	2.862429943
93	2.77664849
94	2.772143974
95	2.768818041
96	2.716370599
97	2.712383437
98	2.708100302
99	2.650876251
100	2.597573685
101	2.534211286
102	2.491007377
103	2.47308172
104	2.433399695
105	2.373859229
106	2.311899903
107	2.259899578
108	2.211769169
109	2.167292586
110	2.147296562
111	2.101354382
112	2.056783993
113	2.023070041
114	1.963811414
115	1.962563627
116	1.92156517
117	1.883962253
118	1.835209855
119	1.833770706
120	1.832158387
121	1.798483862
122	1.769429132
123	1.719211744
124	1.696523508
125	1.67175283
126	1.625116171
127	1.580870437
128	1.542322122
129	1.501430173
130	1.467564152
131	1.453891993
132	1.419973969
133	1.389390567
134	1.387693417
135	1.362815941
136	1.33322082
137	1.310881611
138	1.304782849
139	1.30274672
140	1.265230627
141	1.249471792
142	1.228662026
143	1.226661117
144	1.196113375
145	1.177168337
146	1.151421921
147	1.132740669
148	1.109657628
149	1.086961435
150	1.086316415
151	1.060822189
152	1.046525259
153	1.032786279
154	1.012731506
155	0.9939935937
156	0.9809492712
157	0.9799560509
158	0.9646810441
159	0.9641439776
160	0.9446130512
161	0.9223929663
162	0.917381649
163	0.8956485914
164	0.8738911769
165	0.8595147887
166	0.8502364064
167	0.8358726501
168	0.8218081766
169	0.8083315728
170	0.798533592
171	0.7913784766
172	0.7741187641
173	0.7560436665
174	0.7542619086
175	0.7534865624
176	0.7400953037
177	0.7277424501
178	0.7233861145
179	0.7042705853
180	0.6915636831
181	0.6802188745
182	0.6675901151
183	0.6671554963
184	0.6527588255
185	0.6352632842
186	0.62664496
187	0.6111373452
188	0.6015025775
189	0.588137396
190	0.5776096077
191	0.5765713364
192	0.5760701907
193	0.5644943977
194	0.5583944693
195	0.5504688574
196	0.5437217078
197	0.532138364
198	0.5232151546
199	0.514717138
